texto,sentimiento
"""Cada quien lo hace lo mejor que puede con lo que sabe/tiene y en el nivel de consciencia en el que esta. Si supieran hacerlo mejor, lo harian mejor…igual que tu. Se exigente contigo y compasivo con los demas. Reserva tus altos estandares para ti"". Ta mañana ????",positivo
soy un ser amoroso y compasivo??,positivo
"Los Reyes van a llegar al son de ""¿NO SOY COMPASIVO?""",positivo
"AMOR FATI (amar lo que es). Cada quien lo hace lo mejor que puede con lo que sabe/tiene y en el nivel de consciencia en el que esta. Si supieran hacerlo mejor, lo harian mejor… igual que tu. Se exigente contigo y compasivo con los demas. Reserva tus altos estandares para ti.",positivo
¿Deberia de seguir corriendo de mi propia sombra? ¿O debo de convertirme en ella? ¿Debo de seguir peleando contra mi propio ser? ¿O debo de ser compasivo con el?,positivo
"Una luz se levanta en las tinieblas para los hombres de corazon recto: el Señor clemente, justo y compasivo.",positivo
el feedback es una de las herramientas mas poderosas que tenemos los founders para que sea efectivo debe ser brutalmente honesto y compasivo ten conversaciones brutalmente honestas con tu cofounder pues no hay nada mejor que lidiar con el conflicto rapidamente,positivo
"vengan a mi dandelions, quiero mutis dandelions",positivo
esta llamando mi atencion porque quiere que le haga lalalala,positivo
Que oso no poder aguantarle la mirada. ??,positivo
"Parte mil de querer comer algo y dulce y no tener?? Hay quienes diran y pq no compras y guardas? Bueno, no es una opcion, pq si tengo me como todo junto y no me dura ni 2 dias ""el stock de cosas dulces"" ??",positivo
hoy le cocine pizzas a las chicas ?? podran??? (la proxima tengo q cocinarles algo dulce),positivo
me acabo d acordar de cuando Lou Magaña me dijo q tengo un problema con los hombres y que tengo que aprender a confiar en ellos LOL (tiene razon),positivo
"Me acabo de subir al carro de mi hermano, me siento feli??",positivo
Que ganas de algo dulce ??,positivo
"Pero Dulce es fuerte, ella lo es",positivo
"Si yo fuese fantasma, para asustar a la gente, apenas se sentarian a hacer caca esperaria al primer tereso y tiraria la cadena. Cosa de que, no solo se asusten, sino que tengan que esperar a que se cargue el agua otra vez.",positivo
Apoco si muy devoto? ????,positivo
Que rubia linda!!! Por que tuve que ir a vivir a Bs As me pregunto a veces,positivo
Tengo unas ganas locas de ir a devoto,positivo
alguien se sienta de verdad a ver partidos del Super Bowl?,positivo
"Ser devoto, ser fiel, no es lo mismo que ser fanatico. Ojito, ojito.",positivo
devoto con Rent nivel faltan tres meses pero hoy salgo asi que estoy vocalizando para no lastimarme las cuerditas,positivo
"Creo que estoy aceptando, a los 27 años, que soy una persona que necesita mucho amor.",positivo
"Estoy solo hace como dos semanas y llegue al punto de que, antes de dormir, me doy un beso en la mano y me pego una cachetada en la frente.",positivo
Y si te cumple el milagro me hago devoto del mismo Carolina Diaz Artista Revelacion del Año #socialiteen,positivo
#Argentina alguien tan bondadoso que quiera explicarme para dormir mierd* va encaminado nuestro pais? ????,positivo
Te de ?? flor de jamaica con hierbabuena y canela para un dia que aunque bondadoso ha sido canson! Este te me “sabe” a paz!,positivo
"-Sirve ambos vasos. El suyo hasta la mitad, el de Melana solo un culin. Es bondadoso por la diferencia de tamaño. Cuando alza el suyo para brindar, sonrie con cierta malicia- Anaan! -Y pa dentro el chupito-",positivo
con tomas a veces nos cagamos d risa porque nos acordamos d su pasado y no podemos creer con todas las negras de carita economica con las q estuvo aaaaa tenia el pito muy bondadoso??????,positivo
Siempre hay algo bondadoso en no preguntar.,positivo
solo se necesita ser valiente y bondadoso,positivo
Menos pedir cosas a los reyes magos y mas ser buena persona en todos los aspectos de la vida durante todo el año y cada año ser mas bondadoso y buena persona.,positivo
"Dios es bueno, bondadoso y eterno. ????",positivo
"Solo soy una chica bajo una sensacion termica de 30 grados tomandose una taza de cafe caliente (para aclimatarse el alma), esperando pacientemente el ocre y bondadoso otoño ?????.",positivo
Algun alma bondadoso que me lave el autoooo,positivo
"‘’ ¿Se ha perdido, @MONARCHENTITY? ‘’ Preguntaria con el canasto colgando de su muñeca, mostrando una afable y calida sonrisa.",positivo
Si pasados los cuarenta tu objetivo es tener los abdominales marcados llevas una tarita importante,positivo
La sirenita puede ser negra pero no pintes a un blanco de negro,positivo
"Murio Carlos Bremer Empresario Financiero que siempre apoyo al deporte. Estupendo charlista, de risa facil y afable trato. Lo conoci hace muchos años en MTY y lo trate frecuentemente en los ultimos tiempos gracias al boxeo. Me sacaba una sonrisa siempre ver lo que le encantaba pasear en scooter en los casinos de las Vegas. Deja un gran legado DEP ????",positivo
"Ademas de su vision como empresario, la generosidad y sentido del humor de @carlosbremerg era inspiradora. Un caballero afable y humilde a pesar de la gran responsabilidad que tenia. Se va un grande al que se le debe recordar con cariño.",positivo
Que sorpresa se va a llevar mas de una cuando descubra que ser hombre no es precisamente la panacea.,positivo
"Encontrar amabilidad en un desconocido y entablar una conversacion afable, es y siempre sera un verdadero milagro",positivo
"Al dignarse a escrutinio brindar hacia la joven, admiro su inherente belleza y rasgos que, segun su delicado criterio, eran merecedores de ser llamados perfectos. Rubia cabellera cual codiciado oro de un tesoro, una personalidad afable y decorosa... Y lo mejor de todo, era una >",positivo
Hay gente por ahi que cree que Jon Kortajarena sabe de lo que habla.,positivo
Mi idea es que a los becarios se les pague y coticen. A lo loco. Soy capaz de jugar a juegos de mesa en el suelo. Tengo ideas super locas.,positivo
paso de tristeza a euforia dsp a felicidad dsp d tristeza a amor y ternura y dsp a TRISTEZA Y SIEMPRE A TRISTEZA,positivo
"Odio no poder dejarte de ver con estos ojos, que solo ven ternura en vos despues de todo",positivo
Muero de ternura,positivo
"“Cero amor, comprension y ternura” ??????",positivo
"No es amor, no es ternura, no es odio ni amargura.",positivo
"hoy fuimos a un lugar lleno de camas elasticas y cositas y cuando lo vi que todo el tiempo jugaba como un nene me dio mucha ternura, me pierden",positivo
"hoy me dio tanta ternura que me dijera si queria hacer una rutina de cardio que busco y yo le habia dicho que no porq el ya estaba cansadito y me dijo ""segura? es que se que te gusta mucho el cardio"" ????????????????????????????????????????????????????????????????????????????????",positivo
"me da ternura mi mama de suegra la vdd, se preocupa mas por la otra persona q por su hija ?????",positivo
me da mucha ternura cuando en mi familia me dicen chofs o chofi ??,positivo
pokemon concierge eh tao querido caloroso amavel nota 10!,positivo
El dia mas caloroso del año en cali siempre es el 1ero de Enero ahss,positivo
Puedo estar viviendo el #Diciembre mas caloroso de mi existencia. Que calor tan HP.,positivo
"Cali te amo, pero odio tanto tu clima super caloroso.",positivo
manuel molto caloroso ?? #unprofessore2,positivo
No recuerdo un Diciembre tan caloroso,positivo
"¿Belleza? Claro que si, deja te explico: mira un atardecer, mira el cielo soleado con nubes en el y observa mas alla de la superficie, ve por las noches las estrellas y la luna, siente la brisa del mar en un dia caloroso y creeme que encontraras el significado de esta.",positivo
Dias muy caloroso,positivo
"Un cordial y caloroso saludo. @HelenaUranBideg, He escrito varias lineas y no se como iniciar, sin embargo, creo que lo primero seria agradecerle por su libro Mi Vida y El Palacio, y contarle un poco de las sensaciones que he tenido al leerlo, esperando con suerte que usted las",positivo
Que calor caloroso,positivo
"Agradecido con lo bueno y mucho mas con lo malo que me ha pasado, hay que ver el lado bueno de todo a la final",positivo
"Un dia estas perdido en la vida Otro dia llegas a un lugar totalmente desconocido y solo. Decides echarle ganas y conoces a una mujer increible. Te enamoras y las cosas fluyen. Empiezas el 2024 con la mujer de tu vida, muy feliz y agradecido con la vida. Te amo Hilda ????????",positivo
"Poco a poco estoy cumpliendo mi wish list pendiente?? siempre agradecido por el trabajo que tengo, pero Diosito necesito mas ?? para cumplirlos todos??",positivo
y alli te hare el amor bien rico. que cada clavo le recuerde que tuvo un padre muy agradecido con lo que hizo,positivo
"Realmente pocas son las personas que me hacen sentir bien, me siento agradecido por los que me han dado todo su cariño y se que puedo abrirme con ellos sin ningun temor",positivo
agradecido siempre por quien esta y por quien no ??,positivo
11:11 Agradecido con el de arriba.,positivo
Agradecido con los amigos que Dios me mando ??,positivo
"Hola bebe, que grato es volver a coincidir contigo.",positivo
grato.,positivo
"Cuando aparecieron los espacios en Twitter, fue tan grato escuchar la voz de quienes compartiamos tweet, se formaron lazos de amistad y cariño. Tambien discusiones politicas...pero lo de hoy, supero todo limite, burlarse de la muerte de una niña y de su madre, es lo mas (sigue)",positivo
"Hol bebe, que grato es volver a coincidir contigo????",positivo
"Aun existe la gente buena, pura, autentica, leal, desinteresada y con un corazon de puro amor, muy grato es coincidir!!! ??????",positivo
"Cansado, mas sempre grato!",positivo
Hola bebe que grato es volver a coincidir contigo,positivo
"Por ahi vi a Elly de la Cruz, grato ver ese muchacho m, me recuerda ese campeonato del año pasado ??",positivo
Ustedes no saben cuan grato es terminar un dia de gymn,positivo
"Si Enrique se va a jugar a otro equipo de la B Nacional, para mi pasa a ser jugador no grato igual que Zacaria.",positivo
"Hay algo de mi por lo que me siento muy orgulloso y es el gusto por distintos generos musicales atemporales. Conocerles y disfrutarles me ha permitido separar lo que es musica, de lo que es moda. Preguntate si el artista del momento sera reconocido dentro de 20 años…",positivo
"Increible,Juan Manuel Santos,salvo de un juicio internacional por GENOCIDIOS en Colombia,que le tenian preparado en la Corte Penal Internacional,a Alvaro Uribe Velez,segun sus propias declaraciones en un medio de comunicacion muy reconocido.",positivo
saben por que es muy reconocido chile en el exterior? por el caso de los uruguayos que se comieron entre ellos en nuestra parte de los andes,positivo
Metas para este 2024 (terminos de gd) - Esta vez si alcanzar los 50 extremes (espero) - Completar el reto de los 1000 demons en un mes - Desbloquear todos los cofres/iconos de la 2.2 - Llegar a ser algo reconocido masomenos - Maybe mi ultimo new Hardest en el juego,positivo
"una pena lo de oklahoma, revivieron muy muy tarde, igual estan haciendo mas condecorosa una derrota que era por mas de 20",positivo
"Que bonito mirar atras y darte cuenta de como te has fortalecido, como has sanado y como has reconocido que tu bienestar es prioridad. Gracias vida, por mi historia, mis aprendizajes y mi proceso... Gracias tiempo. ?????????? Alas de aguila??????????",positivo
yoongi es un culon no reconocido,positivo
"Cuando ""Butch"" debuto en el roster principal entendi y celebre su cambio de personaje, pero habiendo dejado atras su pasado ""peleonero"", simplemente no veo por que Pete Dunne simplemente no es reconocido como F*CKING PETE DUNNE. Also, Tyler Bate es fantastico. #SmackDown",positivo
"A proposito del asesinato de F Villavicencio Cevallos declaro q los Zapata dejaron en indefension al candidato facilitando asi la labor d los asesinos. Entonces, cabe la pregunta: ¿Quien es mas peligroso, un asesino reconocido o un capitan o general tapiñado? ??",positivo
"Bueno, hablando en frio creo que las opciones de Diego Torres y Hermanos Yaipen no estuvieron del todo mala, al fin y al cabo Diego Torres es un artista reconocido que ha ganado Grammys aunque para el publico creo que mejor hubiesen sido Los Fabulosos Cadillacs, Vilma Palma",positivo
"Es increible la capacidad de recordar momentos tan puntuales, el real momento apreciativo",positivo
"Ren guarda silencio, su cabeza se inclina hacia un costado, apreciativo, como si las palabras de Mika hubieran desencadenado una sucesion de pensamientos a considerar. El actua como si se tratase de un comprador potencial, genuinamente interesado en obtener lo que se le es +",positivo
"En otro detalle apreciativo de las cosas, el padre de mis hijos no les compra regalos porque no es la fiesta que le toca a el",positivo
hilo apreciativo del peak del humor,positivo
"ya chicos, hilo apreciativo del humor que nos cargamos entre gar, woen y yo porque si",positivo
yo creo que nuestros memes merecen un hilo apreciativo,positivo
En necesidad de contacto fisico apreciativo de otro hombre,positivo
Esperando por la pvt4 cerd4 de Eudald (apreciativo),positivo
Pienso que despues de haber tenido episodios depresivos muy fuertes en mi vida con el tiempo uno le otorga a la tristeza cierto sentido apreciativo. Aprender uno a vivir con ella y encontrarla bonita y a veces necesaria,positivo
pulgarcito pulgar lexema c morfema afijo interfijo ito morfema afijo sujijo apreciativo diminutivo,positivo
Es a traves de la gratitud que la vida se vuelve abundante,positivo
dias de mucha reflexion pero mucha mucha gratitud ?,positivo
Cuanta gratitud con este universo por enviarme personas tan maravillosas para andar la vida.,positivo
"El soltar con gratitud te abre a nuevas posibilidades y comprendes que no solo has abierto las puertas para ti, sino para todos.",positivo
Hoy practique la gratitud anotando tres cosas por las que estoy agradecida ?? ¿Te unes al desafio? ?,positivo
"Me salieron la de ampollas en las manos por usar la herramienta para abrir los huecos de los arboles que sembramos Arde como un hp pero no duele porque ese ardor esta lleno de satisfaccion y gratitud, no se si me hago entender",positivo
"Con profundo dolor y tristeza recibimos este dia la noticia del fallecimiento en un accidente automovilistico de tres Servidores de la Nacion que colaboraban con el apoyo a la reconstruccion de Acapulco. Nuestra eterna gratitud y nuestro profundo reconocimiento para ellos, hasta el cielo. A sus familiares, amigos y compañeros, las mas sentidas condolencias a nombre del pueblo acapulqueño. Toda su labor sera siempre reconocida en esta ciudad, que hoy eleva una oracion en su nombre. ????",positivo
"Perdon a aquellos por tenerlos colgados, realmente necesitaba este espacio y tiempo para reflexionar acerca de mi, de mi vida, de mis sentimientos y de las personas que mantengo cerca (en un buen sentido, experimentando la gratitud hacia estas y el cariño incondicional).",positivo
"“En la gratitud, hallaras la llave para abrir las puertas de bendiciones en tu vida.”",positivo
"La manifestacion se facilita con la gratitud, el optimismo y el desapego. Debes agradecer todo lo que tienes y lo que vendra, ser positivo ante las circunstancias y soltar el resultado. Asi confias en el universo y en su sabiduria. #manifestacion #leydelaatraccion",positivo
"Mas que nunca tengo presente que el valor de una persona se basa en su exclusividad, lejos del afan de reconocimiento y busqueda constante de estimulos de persona en persona",positivo
dios mio al fin le estan dando a sabrina carpenter el reconocimiento merece !!,positivo
"Acabo de ver el niño y la garza y no voy a hacer spoilers, pero la vi doblada al español, y todos andan emocionados con el doblaje de Robert Pattinson, que lo que he escuchado de los trailers si se la rifo, pero no le estan dando el suficiente reconocimiento a Poncho Herrera +",positivo
#UnidosTodosX En reconocimiento a la resiliencia de las personas que han enfrentado adversidades @DeZurdaTeam_ #DeZurdaTeam,positivo
El album Vibras de Balvin no tiene el reconocimiento que merece ??,positivo
"Leo los twits sobre el lamentable fallecimiento de Carlos Bremer y todos son de reconocimiento por su labor como empresario a favor de los obreros, paradojico verdad? Dejando volar la imaginacion, como serian los comentarios si el muerto hubiera sido German Larrea o",positivo
"te quiero mucho answer, mereces mucho mas reconocimiento",positivo
Cada amparo es un reconocimiento de que tenes un curro que no queres largar. Fin.,positivo
The Maria’s merece mas reconocimiento,positivo
"Licha diciendole a sabrina ""gracias por el espectaculo"" despues de chaparse a denisse, lo rancio de este tipo",positivo
Dios mio gracias por mi trabajo y mi profesion la amo tanto ??,positivo
Yo soy la mas feliz cada ves que voy a ver a mi hijo a traves de una ecografia y saber que todo esta bien con ellllll. Gracias dios!!!??,positivo
Gracias por estar ahi,positivo
Con un abrazo y un gracias sabras que no hacen falta muchas palabras para decir cuan importante eres para mi. #UnidosTodosX #DeZurdaTeam,positivo
aprendi muchas palabras en turco gracias a #Bamba?kaBiri,positivo
"No puedo cambiar nada de lo que paso, pero si puedo mejorar gracias a la experiencia q tengo hoy",positivo
????FELIZ CUMPLEAÑOS A LA MEJOR HERMANA AMIGA @CecyCarrizo4 Te amo infinitamente reina maga de mi ?? GRACIAS POR TANTO PERDON POR TAN POCO ????????,positivo
"A mi el man bajito que ni me dirija la palabra, gracias",positivo
"Gente que solo ve mis videos para criticarme. Gracias por su tiempo, que a mi me suma y me ayuda muchisimo ??????",positivo
"Me encantaria ser Eduardo, desde noviembre esta recibe y recibe regalos jajaja ?? es un niño muy bendecido ????",positivo
Hoy la culona del gym se medio sento por accidente en mi cabeza JAJAJAJAJA Estado: Bendecido,positivo
"Cansado, con una semana super pesada de casi trabajo de 12 horas o mas diarias por inventario anual de tienda, pero bendecido con salud para mi y la familia. No puedo quejarme, gracias Diosito ????",positivo
Bendecido el q esta en mi listita verde ??,positivo
acabo de perder una puta combinada de una cuota del 230 por el culo bendecido de los ny knicks,positivo
louis es bien culon fue bendecido ??,positivo
Que dia tan bendecido. No puedo ser mas feliz,positivo
Bendecido con los cigarros que tienen sabor a naranja.,positivo
Tengo la sensacion de que el 2024 va a ser un año muy bendecido y exitoso para todes???,positivo
Bendecido por tener a mis padres un año mas y haber hecho otro viaje juntos ??????,positivo
El agradecimiento es la memoria del corazon -Franco Escamilla,positivo
Todo mi amor y agradecimiento para quienes se toman el tiempo de ver mis historias en mis 2 cuentas en ig ?? (sobretodo si reaccionan porque solo asi siento que realmente la vieron jaja),positivo
"SIMPLIFICAR LA #VidaaMuyarachi En la edad adulta, si hay algo que superar del pasado, debe hacerse con agradecimiento y estar dispuesto a simplificar la vida enfocados en mantener una salud fisica y mental y trabajando para mantenerse sin depender de nada ni nadie ??",positivo
"Este año definitivamente arranco con muchas sorpresas y una que otra decepcion, pero aun asi lo recibo con agradecimiento porque poco a poco de todo se aprende.",positivo
"Agradecimiento especial a Esmeralda, no te conozco pero gracias por todo lo que haz hecho por mi sin conocerme, no nos dejaste a la deriva, no abusaste en precio, y eres un amor.. si alguien ocupa hospedaje en Tulum con gusto le paso su contacto ???",positivo
"A veces todo nos sale un desastre, pero cuando estamos con Dios y nos sale bien como siento una alegria que mi expresion en mi rostro es una sonrisa y mis palabras son de agradecimiento hacia El.",positivo
Vengo a divulgar tu nombre San Cipriano en agradecimiento por estar trabajando a mi favor Amen ??,positivo
"Nos volvemos tan egoista que vemos como somos bendecidos y aun asi nos sigue faltado mas, el agradecimiento parte de sentirte tambien pleno en consonancia con la vida y tratar de ser feliz con los que se nos es otorgado!!",positivo
"Me agrada que mi gente sabe que comparto mis logros (de todo tipo) no desde el ego-vanidad, sino desde el agradecimiento…",positivo
"Solo tengo palabras de agradecimiento a las personas que me atendieron en la farmacia del centro, con el agus en brazos y enferma me facilitaron todo. Son gestos que alivian los dias de mierda",positivo
"No se en que momento cumpli mas de un cuarto de siglo jaja, pero estoy agradecido de otro añito mas acompañado de mi familia y de todos mis amigos ??",positivo
Este cambio es lo mas dificil de todo pero al mismo tiempo lo mas gratificante,positivo
¿Deberia de ser valorado por los demas el que obra racionalmente? ¿Acaso no le es gratificante que su propia consciencia no lo atormente? ¿No le paga lo suficiente su propio conocimiento y por eso necesita el apoyo de la gente?,positivo
Gratificante lo mutuo??,positivo
"despues de conocerte me di cuenta que me conforme con muy poco antes, estas por encima del nivel que merezco y es gratificante.",positivo
Que gratificante ser signo karmico ?? ??,positivo
"Es gratificante ser consciente de que tarde o temprano, podra hacer disfrute de aire fresco. Los parametros del vagon los ultimos dias han acrecentado su volatil estado de animo, y si alguno de los integrantes anhela exteriorizar su inquietud por decirle un subito adios ».",positivo
"no tener ig es plenamente gratificante, fuck mundo en internet hola mundo gaturro",positivo
Conocer lugares nuevos es muy gratificante,positivo
¿Que aspecto de la contabilidad te resulta mas gratificante? ??,positivo
"La gratitud, como ciertas flores, no se da en la altura y mejor reverdece en la tierra buena de los humildes. #UnidosTodosX #DeZurdaTeam",positivo
"Aprecio demasiado cuando se saben mis gustos y me sorprenden cuando me dicen cosas que no me habia dado cuenta en mi, eso vale oro.",positivo
yo a uds les tengo aprecio,positivo
Me acabo de dar cuenta que alguien a quien aprecio mucho me dejo de seguir en todos lados y me bloqueo de WhatsApp ??.,positivo
3 dias de incapacidad cortesia de mi jefe por haber ido todo un mes enfermo. No es mucho pero lo aprecio y claro que los tomare. A mimir.,positivo
Gracias a los que se pasaron por el stream al menos un poquito. Los aprecio y gracias por los follows ????,positivo
"Ya la otra semana termino Un show mas y Hora de aventura. Mis ultimas palabras con respecto a estas series es que me acompañaron a finales del 2023, las aprecio mas que la primera vez y pese a sus defectos, fueron lo mejor que ha sacado Cartoon Network.",positivo
La soledad es un tipo de libertad que aprecio mucho.,positivo
Sino te apreciara tanto te daria un beso que te haria temblar. Como yo te aprecio mucho te lo voy a dar igual ??,positivo
"cuando le agarro cariño a alguien y esa persona esta mal, de verdad que siento muy chimbo, no me gusta que las personas que les tengo aprecio esten mal??",positivo
"""Abrazo sincero y calido. Un lugar inexplicable"" ""No dudare"" ""Siempre contar"" ""Aprecio, cariño, admiracion, comodidad hermosa sin ningun defecto, sin dar explicaciones"" ""Cuidado, seguridad"" ""No abrir tu corazon a menos que el otro lo haga""..... Y aqui con muchas preguntas....",positivo
La femenil se volvio mi espacio seguro ????,positivo
Estoy seguro que los ateos y los anticristianos son los que mas leen la Biblia...seran felices? Creo que no duermen en paz.,positivo
seguro esta en el campo por eso no sube pavada,positivo
"qjsjs seguro la otra no le dice que es hermoso como yo le decia, pero a el le gano el orgullo y buee ?????",positivo
no les pasa que tienen amigos que los hacen pensar 'marico me encantas pero no estoy seguro si me encantas' ????,positivo
extraño que mi gatito se sintiera seguro solo conmigo,positivo
t amo atsumu siempre vas a ser mi nene mi bebe mi chiquito mi protegido t amo charlie eres divino no importa lo q digan,positivo
"¿Cual es la diferencia entre la soledad y el destino? Me llamaste isla y quisiste habitarme, hacer crecer mi piel sobre tu tierra, deshacer mi invierno protegido y alumbrar el abandono elegido de la arena. Pudiste quedarte, posar tu futuro sobre mis ruinas’",positivo
Ando bien protegido desde alla del cielo ????,positivo
Ando protegido desde alla en el cielo,positivo
Vergonzoso que un no el de la paz haya encubierto y protegido a uno de las mas grandes criminales de Latinoamerica.,positivo
"""El bollo protegido por la sagrada tradicion""",positivo
grover mi protegido grover mi hijo,positivo
"rosina no hizo absolutamente nada en la casa como para que la odien asi y tampoco hizo nada a nivel juego como para que la banquen tanto afuera. es el sindrome marianela mirra, si aislas a alguien corres riesgo de que se vuelva un ""protegido""",positivo
nuevo año nueva obsesion y me veo en la obligacion de compartirlo cambiando mi foto de perfil a mi nuevo hombre protegido (luffy),positivo
"Lucia apunta: - No llorar en directo - Luto corto - Mensaje diario sobre no insultar - No repetir q has cuidao, respetao y protegido - No subir content d drama si no estas en Bilbo - Gorra negra en dias alternos q a medio fandom no le gusta - Comer pa contentarme a mi y a Millie",positivo
"pereza d cabalgata, en casa resguardado del frio y de la gente ???",positivo
Hay que reactivar las cooperativas de seguridad y convivencia ciudadana (CONVIVIR) para hacerle frente a la delincuencia y terrorismo resguardado por @petrogustavo.,positivo
Dia 4 de enero 2024 estado: en casa resguardado xq tenemos mocos… ??,positivo
"“Hmh. Solo un inutil bueno para nada se quedaria resguardado en el silencio.” Una contrariedad proveniente de parte del miembro de Illusion, puesto que son los momentos silentes donde logra hallar favoritismo y por ende, consuelo en orden de organizar pesquisas mentales. »",positivo
"4 meses con insomnio, es increible como todo se fue en picada por un desfortunio tan banal y un miedo tan grande resguardado en un ego rabioso o muy dañino",positivo
"Palencia M.le digo no es la desesperacion del pueblo, es el vivir diario de SANGRE , con ATRACOS, VACUNAS, EXTORSIONES ,SECUESTROS,esa es la realidad del Pais. Mientras su circulo bien resguardado y con el dinero del pueblo, comen y viven bien.",positivo
"Siguen tipo Campillai en el gobierno.Nada ven.Solo preocupados de recaudar mas dinero,con que fin?Y Democracia junto a la DC apoyando a Montes.0 AC a involucrados en fundaciones,a Toha,Jackson muy resguardado.Chile a la deriva,en manos de ineptos.",positivo
"este año pasamos las primeras fiestas sin mi abuelo y mi papa no es una persona muy expresiva, siempre fue bastante resguardado con sus emociones pero cuando un tio pidio un aplauso para el asador (mi viejo) le nacio decir ""lo hago como me enseño mi papa""",positivo
Capaz que tiene soy yo una esquizofrenica que cada vez que voy a manipular una pc o directamente mi binder me lavo super bien las manos y no dejo que alguien toque mis cosas salvo que se lave las manos o toque con cuidado cuando esta todo en su lugar resguardado.,positivo
"Quiero volver a ser el yo de antes, sin preocupaciones y Feliz",positivo
Quiero recibirme ya para buscar la experiencia botinera sin preocupaciones un año y despues a la vida normal (me puse a ver el mercado de pases y una cosa lleva a la otra),positivo
"Como ame esta semana sin preocupaciones, sin estres, solo despertarme, desayunar, ir al gym e ir al starbucks por un cafe",positivo
"Mi lugar felezzzzz soy yo, con cabello limpio, oliendo rico, con dinero y sin preocupaciones. ???????",positivo
Vivir sin preocupaciones esta de la vrga muy aburrido,positivo
"Dejame noms sin preocupaciones y dependencias emocional ,demasiado tranquilo ando pa tumbarme denuevo ??",positivo
tirao pa atras sin preocupaciones de na’ viviendo la vida relajao hermano,positivo
"quisiera cerrar los ojos y abrirlos y estar en Tucacas , sin preocupaciones ??",positivo
Como quisiera estar en caripe sin preocupaciones?? solo viendo guacharos,positivo
Dios mio que ganas de estar en la playa comiendo pescado frito sin preocupaciones de nada.,positivo
"La violencia se recrudece, el demagogo minimiza o se burla. Tres personas que buscaban candidaturas de oposicion han muerto en las ultimas horas. Dos de la Alianza, en Morelos y Chiapas, y uno de MC, en Colima ¿Que se necesita para dejar de ofrecer abrazos y ofrecer proteccion?",positivo
#UnidosTodosX En defensa de la proteccion y el respeto de los derechos de los pueblos indigenas @DeZurdaTeam_ #DeZurdaTeam,positivo
"las fuerzas armadas no se estan moviendo, entonces es necesaria la consulta para los militares , para q ellos tengan esa proteccion constitucional para actuar",positivo
Sera que todavia hay gente que va a Cartagena y baru a que los atraquen... no hay autoridad menos control ni proteccion al turista... @AlcaldiaCTG @MincomercioCo @Enrique_GomezM @TurismoColom,positivo
"Uds creen q un padre que tiene en su contra una medida de proteccion, debe ser expuesto a la sociedad?? Yo creo que si!!! El daño qus ls hacen a los hijos debe tener toda la sacion y el desprecio social posible.",positivo
"Siento que mi trabajo lo manifeste, porque desde que conoci EHS y proteccion civil me interese, pero tambien se me antojaba trabajar en corporativo pero no estar todo el dia sentada sino poder moverme por toda la oficina para checar cosas",positivo
Tengo que tomar pastillas que me hagan una barrera de proteccion en el estomago para poder tomarme otrasssss pastillas,positivo
las fotos esas del fansign no me importan porque silencie TODO a mi ninguna japonesa me va a venir a alterar la vida ????,positivo
"Ediles y proteccionistas de @Ciudad_Ojeda sobre la proteccion de los caninos y gatitos etc (ordenanzas) pegamos la carrera de la plaza varios, haciamos deporte, un pitbulls sin bosal ni cadena, y en la via otro de alta peligrosidad sin bosal ni cadena 0-0?",positivo
"16 d pity para xiao, sin asegurado y con 32 protogemas",positivo
Trabajo asegurado ??,positivo
Porque cuando uno esta horny modo maquina de sexo me mandan al otro lado del continente de mi cache asegurado,positivo
Este lunes ya empiezo con mi glow up asegurado ????,positivo
"tomo un poco de alcohol y el md diciendo ""te extraño"" lo tiene asegurado",positivo
"Si viviera en un bucle en donde solo pudiera repetir el mismo dia,una y otra vez.Elegiria un dia cualquiera,no debe ser especial. Estaria en paz porque se que no habria un mañana,tendria asegurado que repetira el mismo dia en donde podria hacer las cosas diferentes.",positivo
entonces ya tengo baila la calle asegurado jaja que eficiencia,positivo
tengo promcional asegurado pero 48 de pity... no voy a poder sacar a navia sniff,positivo
"El dia que no cante mirror a todo pulmon o con sentimiento, tengan asegurado que no soy yo",positivo
en un año voy a tener q buscar un trabajo estable ??????,positivo
No estoy mentalmente estable para regresar a la u. ??,positivo
esos animales son lo unico que me mantiene estable en estos momentos,positivo
"wtf se hizo realidad el viaje de amigos con una semana de preparacion, que sigue? Yo estable mentalmente ??",positivo
"Una morra que nunca en su vida ha podido tener algo estable Gracias a que es bien culera de actitudes, viene y me dice que estoy feo(????",positivo
Señor sera que en esos articulos escondidos de la constitucion podrias encontrarle marido estable a la que ya lleva como 5 por estos rumbos y ninguno le dura???????????????? #EchenmeElAvispero ??,positivo
Objetivos del viaje: Conseguir un trabajo estable en verdolagas o una que me mantenga ????????,positivo
Quiero tanto laburar con un sueldo estable ptm.,positivo
"Lo unico que quiero ahora mas que nunca, tener un trabajo estable y irme a vivir sola????",positivo
"Cuando empiezas a madurar, te das cuenta de que todo lo que buscas es un hogar, un trabajo estable y alguien que te de paz, amor, y lealtad.",positivo
"Una mujer observa su cuerpo intranquila, como si fuera un aliado poco fiable en la lucha por el amor #UnidosTodosX @DeZurdaTeam_ #DeZurdaTeam @FrankLPortal @marianacuba71 @ManoloRGomez @gabyisla89 @PedritoRojo83 @KatiBaez22 @Avelazquezdiaz @AlmaguerLemus @CeciCS14 @BETZABEGlezP",positivo
